apn,neighborhood,time_to_construction,units
6506034,Noe Valley,372.0,5.0
6512016,Mission,425.0,2.0
6517022,Mission,1164.0,4.0
6520036,Mission,1188.0,9.0
6529012,Mission,0.0,11.0
6531022,Mission,1707.0,4.0
6540021,Noe Valley,966.0,2.0
6549021,Noe Valley,1505.0,2.0
6549031,Noe Valley,523.0,2.0
6553024,Noe Valley,529.0,2.0
6567013,Mission,392.0,2.0
6581060,Noe Valley,1901.0,2.0
6583010,Noe Valley,609.0,2.0
6592016,Noe Valley,0.0,2.0
6592034,Noe Valley,0.0,2.0
6593006,Noe Valley,0.0,2.0
6602010,Noe Valley,612.0,2.0
6604011,Noe Valley,1009.0,1.0
6604039,Noe Valley,1597.0,1.0
6612026,Noe Valley,847.0,1.0
6619022,Noe Valley,310.0,2.0
6620014,Noe Valley,1616.0,2.0
6621030,Noe Valley,3150.0,1.0
6630031,Noe Valley,0.0,2.0
6634026,Noe Valley,1011.0,2.0
6656005,Glen Park,468.0,2.0
6659006,Glen Park,644.0,2.0
6662007,Glen Park,515.0,2.0
6684022,Glen Park,733.0,1.0
6706027,West of Twin Peaks,184.0,1.0
6706043,West of Twin Peaks,449.0,1.0
6706053,West of Twin Peaks,274.0,1.0
671006,Western Addition,406.0,69.0
6727038,Glen Park,113.0,1.0
6771032,West of Twin Peaks,1968.0,2.0
6774012,West of Twin Peaks,684.0,1.0
69011,Russian Hill,350.0,2.0
6942046,Oceanview/Merced/Ingleside,328.0,2.0
6942054,Oceanview/Merced/Ingleside,1162.0,2.0
6944044,Oceanview/Merced/Ingleside,327.0,25.0
6959030,Outer Mission,735.0,1.0
6968002,Outer Mission,67.0,3.0
7016023,Oceanview/Merced/Ingleside,635.0,1.0
7099009,Outer Mission,819.0,2.0
7104049,Oceanview/Merced/Ingleside,0.0,1.0
7106058,Oceanview/Merced/Ingleside,2285.0,2.0
7106059,Oceanview/Merced/Ingleside,2285.0,2.0
7107019,Oceanview/Merced/Ingleside,549.0,2.0
7107023,Oceanview/Merced/Ingleside,424.0,2.0
7108033,Oceanview/Merced/Ingleside,1611.0,2.0
7113022,Oceanview/Merced/Ingleside,1123.0,4.0
7114035,Oceanview/Merced/Ingleside,910.0,1.0
7135048,Oceanview/Merced/Ingleside,1804.0,1.0
